  PID  PPID COMM
29765     1 /usr/libexec/gamepolicyd
29774     1 /Applications/OneDrive.app/Contents/OneDrive Sync Service.app/Contents/MacOS/OneDrive Sync Service
32849     1 /Applications/Claude.app/Contents/MacOS/Claude
32983     1 /Applications/Claude.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler
32987 32849 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
32989 32849 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
33013 32849 /Applications/Claude.app/Contents/Frameworks/Claude Helper (Renderer).app/Contents/MacOS/Claude Helper (Renderer)
33030 32849 /Applications/Claude.app/Contents/Frameworks/Claude Helper (Renderer).app/Contents/MacOS/Claude Helper (Renderer)
33054 32849 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
33055 32849 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
33071 32849 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
33072 32849 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
33073 32849 /Applications/Claude.app/Contents/Helpers/disclaimer
33074 33073 /Users/luker/.local/bin/uv
33082 33074 /Users/luker/.cache/uv/archive-v0/uyBX5j-TMJmF886K/bin/python
33086 32849 /Applications/Claude.app/Contents/Helpers/disclaimer
33087 33086 /Users/luker/.local/bin/uv
33090 33087 /Users/luker/.cache/uv/archive-v0/uyBX5j-TMJmF886K/bin/python
33282     1 /System/Library/Frameworks/Virtualization.framework/Versions/A/XPCServices/com.apple.Virtualization.VirtualMachine.xpc/Contents/MacOS/com.apple.Virtualization.VirtualMachine
37713     1 /usr/libexec/mobileassetd
37796     1 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri
37826     1 /usr/libexec/spotlightknowledged.updater
37872     1 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
37971     1 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
39343 21100 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
39344 21100 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
39345 21100 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node
39346 21100 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
