scenario_index,status,delta3,discordance,a,b,pattern,rho,procedure,rejections,phat,mcse,ci_low,ci_high
20,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.0,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
20,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.0,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
20,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.0,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
20,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.0,tango_0.025,1951,0.01951,0.0004373712370515464,0.01866172546207536,0.02038630245396081
20,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.0,tango_0.05,4101,0.04101,0.0006271218374446866,0.03978919202034242,0.042257519872554244
21,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.05,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
21,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.05,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
21,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.05,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
21,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.05,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
21,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.05,tango_0.025,2895,0.02895,0.0005302065399445767,0.027919494028913486,0.030007946496323788
21,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.05,tango_0.05,5521,0.05521,0.0007222316518957059,0.05380236803954138,0.05664349922618804
22,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.1,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
22,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.1,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
22,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.1,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
22,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.1,hoeffding_h3_0.05,1,1e-05,9.999949999874999e-06,2.531780477933314e-07,5.571516034774275e-05
22,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.1,tango_0.025,3885,0.03885,0.0006110701882762733,0.03766071549471788,0.04006612587227293
22,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.1,tango_0.05,7272,0.07272,0.000821168689125444,0.07111794780418355,0.0743468872291633
23,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.2,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
23,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.2,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
23,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.2,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
23,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.2,hoeffding_h3_0.05,2,2e-05,1.4141994201667599e-05,2.4221019627031544e-06,7.22449893650479e-05
23,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.2,tango_0.025,6392,0.06392,0.000773525911653902,0.062411580748200204,0.06545377216014817
23,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.2,tango_0.05,11275,0.11275,0.0010001871699836986,0.11079591989608391,0.11472657196021001
24,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.4,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
24,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.4,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
24,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.4,hoeffding_h3_0.025,3,3e-05,1.732024826611905e-05,6.18676395892203e-06,8.7670202566362e-05
24,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.4,hoeffding_h3_0.05,12,0.00012,3.4638937628050894e-05,6.20072391173597e-05,0.00020960645805016376
24,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.4,tango_0.025,13148,0.13148,0.0010686112932212536,0.12939126937442577,0.13359013001401004
24,COMPLETE,-0.125,0.15,0.0,0.5,time_interaction,0.4,tango_0.05,20472,0.20472,0.0012759691281531854,0.20222273702230967,0.20723440065250212
25,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.0,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
25,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.0,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
25,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.0,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
25,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.0,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
25,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.0,tango_0.025,1995,0.01995,0.0004421764071046758,0.019092294472756573,0.020835705454882815
25,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.0,tango_0.05,4047,0.04047,0.0006231547087200737,0.03925698315065631,0.04170976107878918
26,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.05,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
26,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.05,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
26,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.05,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
26,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.05,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
26,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.05,tango_0.025,2894,0.02894,0.0005301176888201336,0.027909668466410756,0.029997772670392976
26,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.05,tango_0.05,5669,0.05669,0.0007312745305287201,0.055264601420687766,0.05814117829215589
27,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.1,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
27,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.1,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
27,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.1,hoeffding_h3_0.025,1,1e-05,9.999949999874999e-06,2.531780477933314e-07,5.571516034774275e-05
27,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.1,hoeffding_h3_0.05,2,2e-05,1.4141994201667599e-05,2.4221019627031544e-06,7.22449893650479e-05
27,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.1,tango_0.025,3849,0.03849,0.0006083462821452926,0.03730606472714855,0.03970079825341943
27,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.1,tango_0.05,7041,0.07041,0.0008090267727337582,0.06883181239875653,0.07201315843346037
28,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.2,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
28,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.2,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
28,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.2,hoeffding_h3_0.025,1,1e-05,9.999949999874999e-06,2.531780477933314e-07,5.571516034774275e-05
28,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.2,hoeffding_h3_0.05,3,3e-05,1.732024826611905e-05,6.18676395892203e-06,8.7670202566362e-05
28,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.2,tango_0.025,6173,0.06173,0.0007610480083411295,0.06024610042882693,0.06323938161613558
28,COMPLETE,-0.125,0.15,0.0,0.5,interaction_fault,0.2,tango_0.05,10788,0.10788,0.0009810295897678114,0.10596360891954722,0.10981916728729543
